week,seasonal_avg,seasonal_slope
1,29.890405128205128,
2,25.8586885319054,-4.031716596299727
3,23.932507760141092,-1.926180771764308
4,20.72812346750855,-3.204384292632543
5,22.459164433811804,1.7310409663032544
6,21.73188413599908,-0.7272802978127224
7,24.027870149253733,2.2959860132546517
8,26.0393619766126,2.011491827358867
9,21.797291302724897,-4.242070673887703
10,23.08845685102906,1.2911655483041642
11,18.438100114547538,-4.650356736481523
12,21.560508802308803,3.122408687761265
13,17.901850424448217,-3.6586583778605863
14,16.89418152610442,-1.0076688983437982
15,16.56003725490196,-0.33414427120245804
16,16.41891299583607,-0.1411242590658901
17,26.126166666666666,9.707253670830596
18,15.214555072463767,-10.911611594202899
19,14.101655754323197,-1.1128993181405704
20,13.467426956993625,-0.6342287973295715
21,12.660269376693767,-0.8071575802998581
22,16.11563847974203,3.4553691030482643
23,15.565502204500397,-0.5501362752416341
24,13.104484300153814,-2.4610179043465834
25,13.476342338709678,0.37185803855586386
26,16.187727260981912,2.7113849222722344
27,17.649703870908333,1.4619766099264204
28,23.913497267912202,6.2637933970038695
29,25.75974273498097,1.8462454670687691
30,28.607427578726828,2.8476848437458564
31,29.27736402365978,0.6699364449329508
32,36.49631621929876,7.218952195638984
33,34.360270346828855,-2.136045872469907
34,33.38572703544994,-0.9745433113789161
35,36.857909089895905,3.472182054445966
36,33.11454879058769,-3.7433602993082147
37,29.6008048488319,-3.5137439417557914
38,27.667304057241044,-1.9335007915908555
39,30.06232644121725,2.395022383976208
40,28.182615935181428,-1.8797105060358241
41,30.058948874083015,1.8763329389015873
42,26.726210047731193,-3.3327388263518216
43,28.78971688048569,2.0635068327544985
44,27.105593606984534,-1.6841232735011573
45,21.39023378895571,-5.715359818028823
46,18.71452697728587,-2.6757068116698406
47,19.421559897153884,0.7070329198680128
48,21.0560406296704,1.634480732516515
49,20.61848476170727,-0.4375558679631304
50,24.246758875906824,3.628274114199556
51,27.392847025573214,3.14608814966639
52,28.611906899844644,1.21905987427143
